Question,Option A,Option B,Option C,Option D,Correct Answer,Answer Option,Year,Difficulty,Topic,Explanation
137. Which Amendment of the Constitution provided constitutional status to the Panchayats?  (A) 74th Amendment (B) 76th Amendment (C) 56th Amendment (D) 73rd Amendment,74th Amendment,76th Amendment,56th Amendment,73rd Amendment,73rd Amendment.,D,,Medium,Miscellaneous,
138. The 108th Constitution (Amendment) Bill was introduced by the UPA Government in Rajya Sabha with the aim of  (A) Establishing the right to education as a Fundamental Right (B) Providing one-third reservation for the woman in Parliament and State Legislative Assemblies (C) Including the Gujjar community of Rajasthan in the list of Scheduled Tribes (D) Protecting the right to of arrested persons,Establishing the right to education as a Fundamental Right,Providing one-third reservation for the woman in Parliament and State Legislative Assemblies,Including the Gujjar community of Rajasthan in the list of Scheduled Tribes,Protecting the right to of arrested persons,Providing one-third reservation for the woman in Parliament and State Legislative Assemblies.,B,,Medium,Parliament,
139. 73rd Constitutional Amendment in 1992 1. Provided a constitutional guarantee to the formation of Panchayat at the village and other levels 2. Added a new part to the Constitution relating to urban local bodies 3. Stipulated that all Panchayat member be elected for a five-year term in elections supervised by State Election Commission Which of the statements given above is/are correct?  (A) 1 only (B) 2 only (C) 1 and 2 (D) 1 and 3,1 only,2 only,1 and 2,1 and 3,1 and 3.,D,,Medium,Election Commission,
140. Which constitutional Amendment Act granted the Right to Education for all Indian citizens?  (A) 86th Amendment (B) 91 st Amendment (C) 73rd Amendment (D) 74th Amendment,86th Amendment,91 st Amendment,73rd Amendment,74th Amendment,86th Amendment.,A,,Medium,Miscellaneous,
141. The 109th amendment of the Indian Constitution relates to  (A) Reservation for SCs and STs (B) Official language (C) The President's power (D) Age of Voters,Reservation for SCs and STs,Official language,The President's power,Age of Voters,Reservation for SCs and STs.,A,,Medium,Official Language,
142. The world Socialist and Secular were inserted in the Preamble of the Indian Constitution by the  (A) 43rd Amendment (B) 44th Amendment (C) 24th Amendment (D) 42nd Amendment,43rd Amendment,44th Amendment,24th Amendment,42nd Amendment,42nd Amendment.,D,,Medium,Preamble of the Constitution,
143. Which Amendment of the Constitution reduced the voting age from 21 years to 18 years?  (A) 62nd Amendment (B) 63rd Amendment (C) 60th Amendment (D) 61st Amendment,62nd Amendment,63rd Amendment,60th Amendment,61st Amendment,61st Amendment.,D,,Medium,Miscellaneous,
144. The minimum age for being eligible to vote in the Indian Elections was reduced from 21 years to 18 years in the decade of —  (A) 1980's (B) 1990's (C) 1960's (D) 1970's,1980's,1990's,1960's,1970's,1990's.,B,,Medium,Miscellaneous,
"145. No person shall be deprived of his property, Movable or immovable.  (A) This right can be easily abrogated by any Govt. (B) This is a right created by a landmark court order (C) This is a fundamental right (D) This is an ordinary right",This right can be easily abrogated by any Govt.,This is a right created by a landmark court order,This is a fundamental right,This is an ordinary right,This is an ordinary right.,D,,Medium,Miscellaneous,
146. To be granted the Status of the official opposition in a legislature a political party must have at least -  (A) 5 percent of elected members (B) 7 percent of elected members (C) 10 percent of elected members (D) 15 percent of elected members,5 percent of elected members,7 percent of elected members,10 percent of elected members,15 percent of elected members,10 percent of elected members.,C,,Medium,Miscellaneous,
147. Sikkim became a full-fledged State of India in  (A) 1965 (B) 1875 (C) 1985 (D) 1975,1965,1875,1985,1975,1975.,D,,Medium,Miscellaneous,
148. Which is the first linguistic State of India?  (A) Bihar (B) Punjab (C) West Bengal (D) Andhra Pradesh,Bihar,Punjab,West Bengal,Andhra Pradesh,Andhra Pradesh.,D,,Medium,Miscellaneous,
149. Article 370 of the Constitution of India applicable in  (A) Karnataka (B) Bihar (C) Maharashtra (D) Jammu & Kashmir,Karnataka,Bihar,Maharashtra,Jammu & Kashmir,Jammu & Kashmir.,D,,Medium,Miscellaneous,
"150. Which of the following is included in the Employees State Insurance Act, 1948?  (A) Minimum Wages (B) None of the above (C) Unemployment Insurance (D) Medical Benefit",Minimum Wages,None of the above,Unemployment Insurance,Medical Benefit,Medical Benefit.,D,,Medium,Miscellaneous,
151. Which non-member can participate in the business of either House of Parliament?  (A) The Attorney General (B) The Chief Justice of India (C) The Vice-President (D) The Solicitor General,The Attorney General,The Chief Justice of India,The Vice-President,The Solicitor General,The Attorney General.,A,,Medium,Parliament,
152. Under which Article of the Indian Constitution provision has been made for the formation of a Finance Commission to deal with various aspects of Centre-State financial relationship?  (A) Article 356 (B) Article 370 (C) Article 245 (D) Article 280,Article 356,Article 370,Article 245,Article 280,Article 280.,D,,Medium,Emergency Provisions,
153. Which of the following institutions of India is the chief advisory body on the distribution of tax revenue between the Centre and the States?  (A) The Lok Sabha (B) The Rajya Sabha (C) The Planning Commission (D) The Finance Commission,The Lok Sabha,The Rajya Sabha,The Planning Commission,The Finance Commission,The Finance Commission.,D,,Medium,Parliament,
154. Members of the Union Public Service Commission retire at the age of  (A) 64 years (B) 65 (C) 60 years (D) 62 years,64 years,65,60 years,62 years,65.,B,,Medium,Miscellaneous,
155. The Election Commission functions under  (A) Supreme Court (B) President (C) Parliament (D) No authority,Supreme Court,President,Parliament,No authority,No authority.,D,,Medium,Parliament,
156. The Chief Election Commissioner can be removed by the  (A) President at his sweet will (B) President on the recommendation of parliament (C) Chief Minister (D) Parliament,President at his sweet will,President on the recommendation of parliament,Chief Minister,Parliament,President on the recommendation of parliament.,B,,Medium,Chief Minister,
157. The National Development Council consists of  (A) Members of the Planning Commission (B) Chief Minister of all States (C) Prime Minister (D) All of the above,Members of the Planning Commission,Chief Minister of all States,Prime Minister,All of the above,All of the above.,D,,Medium,Prime Minister,
158. Chairman of the Indian Planning Commission is  (A) Finance Minister (B) Vice-President (C) President (D) Prime Minister,Finance Minister,Vice-President,President,Prime Minister,Prime Minister.,D,,Medium,Prime Minister,
159. Constitution of Finance Commission is mentioned in the Constitution and the Chairman of the Commission is appointed by  (A) Chief Justice (B) Vice-President (C) Prime Minister (D) President,Chief Justice,Vice-President,Prime Minister,President,President.,B,,Medium,Prime Minister,
160. The Finance Commission is constituted under Article of the Constitution of India.  (A) 282 (B) None of the above (C) 275 (D) 280,282,None of the above,275,280,280.,D,,Medium,Finance Commission,
161. Who accords recognition to various political parties as national or regional parties? (A) The Parliament (B) The President in consultation with the Election Commissioner (C) The President (D) The Election Commission,The Parliament,The President in consultation with the Election Commissioner,The President,The Election Commission,The Election Commission.,D,,Medium,Parliament,
162. Which of the following committees is concerned with the regularity of the-expenditure of the Government? (A) Committee on Public Undertakings (B) All of the above (C) Public Accounts Committee (D) Estimates Committee,Committee on Public Undertakings,All of the above,Public Accounts Committee,Estimates Committee,Public Accounts Committee.,C,,Medium,Miscellaneous,
163. The Election Commission of India celebrates the National Voters Day on (A) 25th January (B) 1st February (C) 26th January (D) 25th March,25th January,1st February,26th January,25th March,25th January.,A,,Medium,Election Commission,
164. What is the number of members in the Public Accounts Committee of the Lok Sabha? (A) 15 (B) 20 (C) 7 (D) 10,15,20,7,10,15.,A,,Medium,Parliament,
165. Judges of the High Court in India retire at the age of (A) 60 (B) 65 (C) 55 (D) 62,60,65,55,62,62.,D,,Medium,High Court,
166. The Judges of the Supreme Court hold office till they reach the age of (A) 65 years (B) 60 years (C) 55 years (D) There is no upper age Limit,65 years,60 years,55 years,There is no upper age Limit,65 years.,A,,Medium,Supreme Court,
167. The Supreme Court of India consists of the Chief Justice and (A) 29 Judges (B) 32 Judges (C) 31 Judges (D) 30 Judges,29 Judges,32 Judges,31 Judges,30 Judges,30 Judges.,D,,Medium,Supreme Court,
168. Who is the final authority to expound the meaning of the Constitution? (A) The Speaker of the Lok Sabha (B) The Supreme Court (C) Chief Minister (D) The President,The Speaker of the Lok Sabha,The Supreme Court,Chief Minister,The President,The Supreme Court.,B,,Medium,Chief Minister,
169. Mark correctly the precise meaning of the term 'Habeas Corpus'? (A) To remove the body (B) None of the above (C) To put the body behind the prison bar (D) To have the body,To remove the body,None of the above,To put the body behind the prison bar,To have the body,To have the body.,D,,Medium,Miscellaneous,
"170. In India, the Federal Court was constituted by an act of (A) 1919 (B) 1935 (C) 1891 (D) 1909",1919,1935,1891,1909,1935.,B,,Medium,Miscellaneous,
171. Who appoints a member of UPSC and State PSCs? (A) Governor (B) President (C) President and Governor respectively (D) President on the recommendation of Prime minister and Chief Minister respectively,Governor,President,President and Governor respectively,President on the recommendation of Prime minister and Chief Minister respectively,"President and Governor respectively. Explanation: A member of state PSC is appointed by Governor, but the member of joint PSCs is appointed by President. President can only remove a member or multiple members of State PSCs and UPSC if they proved wrong in the court of laws.",C,,Medium,Prime Minister,"A member of state PSC is appointed by Governor, but the member of joint PSCs is appointed by President. President can only remove a member or multiple members of State PSCs and UPSC if they proved wrong in the court of laws."
172. The state Jammu & Kashmir enjoys special constitutional status following article 370. It implies the state as  (A) a separate constitution (B) a separate defense force (C) a separate foreign policy (D) Att the above,a separate constitution,a separate defense force,a separate foreign policy,Att the above,"a separate constitution. Explanation: Following the article 370 of Indian constitution the state J & K enjoy a special constitutional status. It allows the state to have a separate constitution which stops people from other location to buying a property in this state. Indian Penal Code does not follow in J & K rather Ranbir Penal Code(RPC) followed. Indian Parliament can not make laws on this state without pass the proposal in this state assembly, But the govt of India has right on defense, foreign policy, and communication. The state assembly of J&K is a 6-year tenure whereas the rest of the Indian state has 5 years.",A,,Medium,Miscellaneous,"Following the article 370 of Indian constitution the state J & K enjoy a special constitutional status. It allows the state to have a separate constitution which stops people from other location to buying a property in this state. Indian Penal Code does not follow in J & K rather Ranbir Penal Code(RPC) followed. Indian Parliament can not make laws on this state without pass the proposal in this state assembly, But the govt of India has right on defense, foreign policy, and communication. The state assembly of J&K is a 6-year tenure whereas the rest of the Indian state has 5 years."
173. The main source of the Indian Constitution was considered to be the Indian Regulation Act 1935. Which of the following is not a feature of Regulation Act 1935? (A) All India Federation (B) Provincial Autonomy (C) Dyarchy of Center and the Provinces (D) Bicameral Legislature,All India Federation,Provincial Autonomy,Dyarchy of Center and the Provinces,Bicameral Legislature,"Dyarchy of Center and the Provinces. Explanation: If you notice closely you can find that options B and C are contradictory. If there is provincial autonomy how could it be dyarchy? Actually, dyarchy was abolished from provinces and applied in the center.",C,,Medium,State Legislature,"If you notice closely you can find that options B and C are contradictory. If there is provincial autonomy how could it be dyarchy? Actually, dyarchy was abolished from provinces and applied in the center."
"174. Govt of India Act,1935 was the lengthiest act by that time. According to this article, the residuary power was vested in (A) State Legislature (B) Viceroy (C) Federal Legislature (D) British parliament",State Legislature,Viceroy,Federal Legislature,British parliament,Viceroy.,B,,Medium,State Legislature,
"175. Under the GOI, 1935, The federal court was established. The court had the jurisdiction of (A) appellate jurisdiction only (B) advisory jurisdiction only (C) original jurisdiction only (D) All the above",appellate jurisdiction only,advisory jurisdiction only,original jurisdiction only,All the above,All the above.,D,,Medium,Miscellaneous,
176. Judicial Committee of the Privy Council was the highest court to appeal for a commonwealth country under the British empire. It was established in (A) 1813 (B) 1726 (C) 1683 (D) 1833,1813,1726,1683,1833,1833. Explanation: Privy Council was considered as the court of last resort. India retained the right to appeal from the Federal Court of India till 1950. It was abolished by the act of 1949 following the replacement of the Federal Court by The Supreme Court of India. The system of appeal from India to the Privy Council in England was introduced by the Charter Act 1933.,D,,Medium,Miscellaneous,Privy Council was considered as the court of last resort. India retained the right to appeal from the Federal Court of India till 1950. It was abolished by the act of 1949 following the replacement of the Federal Court by The Supreme Court of India. The system of appeal from India to the Privy Council in England was introduced by the Charter Act 1933.
177. The date mentioned in the preamble of the Indian Constitution is (A) 18289 (B) 18593 (C) 17924 (D) 18228,18289,18593,17924,18228,18228. Explanation: It was the date when the constitution was adopted in 26-Nov-1949. The constitution was finally enacted in 26-January-1950.,D,,Medium,Preamble of the Constitution,It was the date when the constitution was adopted in 26-Nov-1949. The constitution was finally enacted in 26-January-1950.
178. Which of the following word is not added by the 42nd Constitutional Amendment? (A) Fraternity (B) Integrity (C) Liberty (D) Unity,Fraternity,Integrity,Liberty,Unity,"Liberty. Explanation: The words were added by 42nd CA are Secular, Socialist, Fraternity, Unity, and Integrity.",C,,Medium,Miscellaneous,"The words were added by 42nd CA are Secular, Socialist, Fraternity, Unity, and Integrity."
"179. According to the constitution, what is the source of all power? (A) Indian National Army (B) President (C) Prime Minister and its cabinet (D) We, the people of India",Indian National Army,President,Prime Minister and its cabinet,"We, the people of India","We, the people of India.",D,,Medium,Prime Minister,
180. A quasi-federal form of government i.e a federal system with strong central government was adopted in Indian constitution from the constitution of (A) UK (B) USA (C) Canada (D) Russia,UK,USA,Canada,Russia,Canada.,C,,Medium,Miscellaneous,
"1. In the beginning, there were only eight schedules in the Constitution. Xth schedule of the Indian Constitution deals with (A) the Finance Commission. (B) the Election Commission. (C) defections. (D) Other Backward Classes.",the Finance Commission.,the Election Commission.,defections.,Other Backward Classes.,defections..,C,,Medium,Election Commission,
2. Chairman and other members of the Union and State Public Service Commissions are appointed by (A) the President. (B) the President and Governor of respective States. (C) the Prime Minister and Chief Minister of the respective States. (D) Both A and C,the President.,the President and Governor of respective States.,the Prime Minister and Chief Minister of the respective States.,Both A and C,the President and Governor of respective States..,B,,Medium,Prime Minister,
3. There are mainly three Standing Finance Committee in the Parliament. The largest committee of Parliament of India is (A) Committee on Public Undertaking. (B) Estimates Committee. (C) Joint Parliamentary Committee. (D) Public Account Committee,Committee on Public Undertaking.,Estimates Committee.,Joint Parliamentary Committee.,Public Account Committee,Estimates Committee..,B,,Medium,Parliament,
4. The members of UPSC hold the office (A) as long as they enjoy the confidence in Parliament. (B) for life or till they attain the age of 70 years. (C) during the pleasure of President. (D) for the term of the six years or till they attain the age of 65 years,as long as they enjoy the confidence in Parliament.,for life or till they attain the age of 70 years.,during the pleasure of President.,for the term of the six years or till they attain the age of 65 years,for the term of the six years or till they attain the age of 65 years.,D,,Medium,Parliament,
5. The Chairman of the Election Commission is appointed by the President for 6 years. The Election Commission is responsible for the conduct of election to (A) State Legislature. (B) Office of President and Vice President. (C) Parliament. (D) All the above,State Legislature.,Office of President and Vice President.,Parliament.,All the above,All the above.,D,,Medium,State Legislature,
6. The members of UPSC can be removed from the office before the expiry of the term by the (A) Prime Minister. (B) Chairman of UPSC. (C) President on the recommendation of Supreme Court. (D) Prime Minister on the recommendation of the Supreme Court,Prime Minister.,Chairman of UPSC.,President on the recommendation of Supreme Court.,Prime Minister on the recommendation of the Supreme Court,President on the recommendation of Supreme Court..,C,,Medium,Prime Minister,
7. The Chief Election Commissioner is (A) appointed by Home Minister. (B) appointed by Prime Minister. (C) elected by Parliament. (D) appointed by the President,appointed by Home Minister.,appointed by Prime Minister.,elected by Parliament.,appointed by the President,appointed by the President.,D,,Medium,Prime Minister,
8. The special status of Jammu & Kashmir implies the state as (A) a separate judiciary. (B) a separate constitution. (C) a separate defense force. (D) All the above,a separate judiciary.,a separate constitution.,a separate defense force.,All the above,a separate constitution..,B,,Medium,Judiciary,
"9. In which case, it was held by the Supreme Court that 'Preamble is the basic feature of the Constitution'? (A) In re Keshwananda Bharti. (B) In re Golaknath case. (C) In re Swam Singh. (D) In re Maneka Gandhi",In re Keshwananda Bharti.,In re Golaknath case.,In re Swam Singh.,In re Maneka Gandhi,In re Keshwananda Bharti..,A,,Medium,Preamble of the Constitution,
"10. Which of the following sought to change the character of Indian Government from unitary to federal? (A) Indian Council Act, 1909. (B) The government of India Act, 1935. (C) The government of India Act, 1919. (D) Indian Independence Act, 1947","Indian Council Act, 1909.","The government of India Act, 1935.","The government of India Act, 1919.","Indian Independence Act, 1947","The government of India Act, 1935..",B,,Medium,Miscellaneous,
11. The Indian Constitution has borrowed the ideas of Preamble from the (A) Canadian Constitution. (B) Italian Constitution. (C) French Constitution. (D) Constitution of USA,Canadian Constitution.,Italian Constitution.,French Constitution.,Constitution of USA,Constitution of USA.,D,,Medium,Preamble of the Constitution,
"12. From which of the countries, the Constitution of India has adopted fundamental duties? (A) USA. (B) UK. (C) Erstwhile USSR. (D) Canada",USA.,UK.,Erstwhile USSR.,Canada,Erstwhile USSR..,C,,Medium,Fundamental Duties,
"13. The British conceded the demand for partition of India under (A) Cripps Mission. (B) Mountbatten Plan, 1947. (C) Simla Pact, 1945. (D) Cabinet Mission Plan",Cripps Mission.,"Mountbatten Plan, 1947.","Simla Pact, 1945.",Cabinet Mission Plan,"Mountbatten Plan, 1947..",B,,Medium,Miscellaneous,
"14. The first Session of the Constituent Assembly was held on (A) December 9, 1946 (B) November 26, 1949 (C) August 15, 1947 (D) January 26, 1946","December 9, 1946","November 26, 1949","August 15, 1947","January 26, 1946","December 9, 1946.",A,,Medium,Making of the Constitution,
"15. Which of the following was not one of the features of the Government of India Act, 1935? (A) Bicameral legislature. (B) Dyarchy of center and the provinces. (C) Provincial autonomy. (D) All India Federation",Bicameral legislature.,Dyarchy of center and the provinces.,Provincial autonomy.,All India Federation,Dyarchy of center and the provinces..,B,,Medium,State Legislature,
"16. The Government of India Act, 1935 vested the residuary power in the (A) British Parliament (B) State Legislature (C) Federal Legislature (D) Governor-General",British Parliament,State Legislature,Federal Legislature,Governor-General,Governor-General.,D,,Medium,State Legislature,
"17. Quit India movement was declared by the Indian National Congress in Bombay session of ACCCC on (A) August 8, 1942 (B) August 9, 1945 (C) July 18, 1947 (D) January 26, 1947","August 8, 1942","August 9, 1945","July 18, 1947","January 26, 1947","August 8, 1942.",A,,Medium,Miscellaneous,
"18. Under the Government of India Act, 1935, the Federal Court had (A) original jurisdiction only (B) appellate jurisdiction only (C) advisory jurisdiction only (D) All the above",original jurisdiction only,appellate jurisdiction only,advisory jurisdiction only,All the above,All the above.,D,,Medium,Miscellaneous,
"19. For the first time, the system of appeal from India to the Privy Council in England was introduced by the Charter of (A) 1608 (B) 1683 (C) 1726 (D) 1833",1608,1683,1726,1833,1833.,D,,Medium,Miscellaneous,
"20. Under the Charter of 1687, a Mayor's Court was established at Madras. The Mayor had to be (A) elected by the Alderman and the Burgesses every year. (B) nominated by the company. (C) senior-most Alderman to be next year. (D) nominated by the company on the recommendation of the outgoing Mayor",elected by the Alderman and the Burgesses every year.,nominated by the company.,senior-most Alderman to be next year.,nominated by the company on the recommendation of the outgoing Mayor,nominated by the company..,B,,Medium,Miscellaneous,
21. The East India Company was established by the British Crown in the year (A) 1600 AD. (B) 1605 AD. (C) 1726 AD. (D) 1857 AD,1600 AD.,1605 AD.,1726 AD.,1857 AD,1600 AD..,A,,Medium,Miscellaneous,
"22. The Constitutional provision relevant for solving the question of repugnancy between Central Law and the State Law is found in (A) Article 156 (B) Article 254 (C) Article 300 (D) Entry 42, List III",Article 156,Article 254,Article 300,"Entry 42, List III",Article 254.,B,,Medium,Miscellaneous,
"23. The Central Government can issue directions to the States with regard to I. Union List II. State List III Concurrent List Codes: (A) I (B) II and III (C) I and III (D) I, II and III",I,II and III,I and III,"I, II and III","I, II and III.",D,,Medium,Miscellaneous,
"24. ""What cannot be done directly cannot be done indirectly"". The doctrine relates to (A) implied powers (B) ancillary power (C) pith and substance (D) colorable legislation",implied powers,ancillary power,pith and substance,colorable legislation,colorable legislation.,D,,Medium,Miscellaneous,
"25. When the Supreme Court sits to determine any question involving a substantial question of law as to the interpretation of the Constitution or for tendering its advice, the minimum number of judges to constitute the Bench should be (A) 3 (B) 5 (C) 7 (D) 13",3,5,7,13,5.,B,,Medium,Supreme Court,
"26. Under Article 321 of the Constitution, the power to extend functions of the Union Public Service Commission has been vested in the (A) Ministry of Home Affairs (B) Parliament (C) Chairman of the Commission (D) President",Ministry of Home Affairs,Parliament,Chairman of the Commission,President,Parliament.,B,,Medium,Parliament,
27. After what time period may a House declare the seat of any member vacant when he absents from all meetings without the permission of the House? (A) 30 days (B) 45 days (C) 60 days (D) There is no time period,30 days,45 days,60 days,There is no time period,60 days.,C,,Medium,Miscellaneous,
"28. When the offices of both the Speaker and Deputy Speaker of the Lok Sabha are vacant, who will appoint the person to perform the functions of the Speaker? (A) The President (B) The Chief Justice of India (C) The Prime Minister (D) The Council of Ministers",The President,The Chief Justice of India,The Prime Minister,The Council of Ministers,The President.,A,,Medium,Prime Minister,
29. How many members in the House of the People are chosen by direct election from territorial constituencies in the States? (A) 520 (B) 530 (C) 540 (D) 550,520,530,540,550,530.,B,,Medium,Miscellaneous,
30. How many languages are present in the Eighth Schedule of the Constitution? (A) 16 (B) 18 (C) 20 (D) 22,16,18,20,22,22.,D,,Medium,Miscellaneous,
31. Which Article of the Constitution provides for the adjudication of disputes relating to waters of inter-State rivers? (A) Article 258 (B) Article 260 (C) Article 262 (D) Article 264,Article 258,Article 260,Article 262,Article 264,Article 262.,C,,Medium,Miscellaneous,
32. Disputes between States comes to the Supreme Court under (A) original jurisdiction (B) advisory jurisdiction (C) appellate jurisdiction (D) None of the above,original jurisdiction,advisory jurisdiction,appellate jurisdiction,None of the above,original jurisdiction.,A,,Medium,Supreme Court,
33. The doctrine of prospective overruling was first evolved by Chief Justice Subba Rao in (A) Sankari Prasad v. Union of India (B) Keshvananda Bharti v. State of Kerala (C) Sajjan Singh v. State of Rajasthan (D) Golaknath v. State of Punjab,Sankari Prasad v. Union of India,Keshvananda Bharti v. State of Kerala,Sajjan Singh v. State of Rajasthan,Golaknath v. State of Punjab,Golaknath v. State of Punjab.,D,,Medium,Miscellaneous,
34. In which of the following cases has the Supreme Court held that primacy should be given to the opinion of other constitutional functions in the matter of appointment of High Court and Supreme Court judges. (A) Keshvananda Bharti case (B) Special Courts Bills case (C) Transfer of Judges case (D) Supreme Court Advocates on Record Association v. Union of India,Keshvananda Bharti case,Special Courts Bills case,Transfer of Judges case,Supreme Court Advocates on Record Association v. Union of India,Supreme Court Advocates on Record Association v. Union of India.,D,,Medium,Supreme Court,
35. Every judge of the Supreme Court of India shall hold office until he attains the' age of (A) 58 years (B) 60 years (C) 62 years (D) 65 years,58 years,60 years,62 years,65 years,65 years.,D,,Medium,Supreme Court,
36. Which one of the following authority is competent to seek the advisory opinion of the Supreme Court of India? (A) The President of India (B) The Prime Minister of India (C) The Governor of a State (D) The Parliament of India,The President of India,The Prime Minister of India,The Governor of a State,The Parliament of India,The President of India.,A,,Medium,Prime Minister,
37. Who among the following holds his/her office at the pleasure of the President? (A) Speaker of the Lok Sabha (B) Comptroller and Auditor General of India (C) Attorney General of India (D) Chairman of the UPSC,Speaker of the Lok Sabha,Comptroller and Auditor General of India,Attorney General of India,Chairman of the UPSC,Attorney General of India.,C,,Medium,Parliament,
38. Which Article of the Constitution provides for the appointment of Comptroller and Auditor General? (A) Article 78 (B) Article 148 (C) Article 178 (D) Article 238,Article 78,Article 148,Article 178,Article 238,Article 148.,B,,Medium,Fundamental Rights,
"39. The Parliament of India consists of (A) Lok Sabha and Rajya Sabha (B) Lok Sabha and Vidhan Sabha (C) Rajya Sabha and Vidhan Sabha (D) Lok Sabha, Rajya Sabha, and the President",Lok Sabha and Rajya Sabha,Lok Sabha and Vidhan Sabha,Rajya Sabha and Vidhan Sabha,"Lok Sabha, Rajya Sabha, and the President","Lok Sabha, Rajya Sabha, and the President.",D,,Medium,Parliament,
40. Total strength of the Council of States consists of (A) 260 members (B) 238 members representing States and Union Territories and 12 nominated by the President (C) 305 members (D) 300 members representing States and Union Territories,260 members,238 members representing States and Union Territories and 12 nominated by the President,305 members,300 members representing States and Union Territories,238 members representing States and Union Territories and 12 nominated by the President.,B,,Medium,Union Territories,
41. Elections to the Vidhan Parishad are held by (A) the system of proportional representation. (B) the system of proportional representation by means of a single transferable vote. (C) Direct elections (D) Indirect elections,the system of proportional representation.,the system of proportional representation by means of a single transferable vote.,Direct elections,Indirect elections,the system of proportional representation by means of a single transferable vote..,B,,Medium,Miscellaneous,
"42. Which of the following emergencies has been declared the maximum number of times? (A) Financial Emergency (B) President's Rule in a State (C) National Emergency (D) All three, equal number of times",Financial Emergency,President's Rule in a State,National Emergency,"All three, equal number of times",President's Rule in a State.,B,,Medium,Miscellaneous,
43. The Chairman of the Constituent Assembly was (A) Dr. Rajendra Prasad (B) Jawaharlal Nehru (C) C. Rajagopalachari (D) Jai Prakash Narayan,Dr. Rajendra Prasad,Jawaharlal Nehru,C. Rajagopalachari,Jai Prakash Narayan,Dr. Rajendra Prasad.,A,,Medium,Making of the Constitution,
44. The group of people in the State to constitute backward class to satisfy Article 15(4) is left to the decision of (A) the State (B) the Parliament (C) the Court (D) the President of India,the State,the Parliament,the Court,the President of India,the President of India.,D,,Medium,Parliament,
"45. Under Article 16, the words 'any employment or office' applies to (A) public employment (B) private employment (C) Both A & B (D) None of the above",public employment,private employment,Both A & B,None of the above,public employment.,A,,Medium,Miscellaneous,
46. Articles 20 - 22 relate to the fundamental right to life and personal liberty. These rights are available to (A) natural persons as well as artificial persons. (B) all persons who have a juristic personality. (C) citizen only. (D) citizens and non-citizens,natural persons as well as artificial persons.,all persons who have a juristic personality.,citizen only.,citizens and non-citizens,citizens and non-citizens.,D,,Medium,Miscellaneous,
47. Right to freedom of religion cannot be restricted on the ground of (A) health (B) morality (C) public order (D) security of state,health,morality,public order,security of state,security of state.,D,,Medium,Miscellaneous,
"48. In 1971, a new Article 31C was inserted in the Constitution which provides that a law giving effect to the Directive Principles of State Policy specified in Article 39b and c will not be void on the ground of contravention of Articles 14,19 or 31. The insertion was made by which of the following Amendments? (A) 25th Amendment (B) 26th Amendment (C) 21st Amendment (D) 24th Amendment",25th Amendment,26th Amendment,21st Amendment,24th Amendment,25th Amendment.,A,,Medium,Directive Principles of State Policy,
"49. According to Article 35, with respect to any of the matters under Articles 16(3) 32(3) 33 and 34, who has the power to make laws? (A) Both A & B (B) The State Legislature (C) The Parliament (D) None of the above",Both A & B,The State Legislature,The Parliament,None of the above,The Parliament.,C,,Medium,State Legislature,
50. How many duties are conferred on the citizens in Article 51A? (A) 11 (B) 12 (C) 8 (D) 9,11,12,8,9,11.,A,,Medium,Miscellaneous,
51. The power of allocation of seats in the House of the People to the States and the constituencies is vested with (A) State Legislatures (B) President (C) Election Commission (D) Parliament,State Legislatures,President,Election Commission,Parliament,Parliament.,D,,Medium,State Legislature,
52. The Legislative Council in a State can be abolished by the Parliament on the recommendation of (A) State Legislative Assembly (B) Governor (C) President (D) None of the above,State Legislative Assembly,Governor,President,None of the above,State Legislative Assembly.,A,,Medium,Parliament,
"53. Democracy and federalism are essential features of our Constitution and basic feature of its structure. This observation was made in S.R. Bommai case by (A) P.B. Sawant, J. (B) A.M. Ahmadi, J (C) J.S. Verma, J. (D) S.R. Pandian, J","P.B. Sawant, J.","A.M. Ahmadi, J","J.S. Verma, J.","S.R. Pandian, J","P.B. Sawant, J..",A,,Medium,Miscellaneous,
54. On which of the following freedoms are reasonable restrictions be imposed on the ground of security of the State? (A) Association or union (B) Movement (C) Speech and expression (D) Peaceful assembly,Association or union,Movement,Speech and expression,Peaceful assembly,Speech and expression.,C,,Medium,Miscellaneous,
"55. Under Article 30(1), the right to establish and administer educational institution belongs to (A) religious and linguistic minorities. (B) minorities as well as the majority. (C) all citizens of India. (D) all people of India",religious and linguistic minorities.,minorities as well as the majority.,all citizens of India.,all people of India,religious and linguistic minorities..,A,,Medium,Miscellaneous,
56. Which Article of the Constitution provides that the Parliament will determine the extent of fundamental rights for the members of the Armed Forces? (A) Article 33 (B) Article 32A (C) Article 31D (D) None of the above,Article 33,Article 32A,Article 31D,None of the above,Article 33.,A,,Medium,Parliament,
"57. The framers of the Constitution borrowed the concept of Directive Principles from (A) Government of India Act, 1935 (B) Constitution of USA (C) Constitution of Switzerland (D) Constitution of Ireland","Government of India Act, 1935",Constitution of USA,Constitution of Switzerland,Constitution of Ireland,Constitution of Ireland.,D,,Medium,Miscellaneous,
58. The disputes regarding the election of President and Vice-President of India are filed and settled (A) both in the Supreme Court as well as High Courts (B) in the Election Commission (C) in the Supreme Court (D) in the Parliament,both in the Supreme Court as well as High Courts,in the Election Commission,in the Supreme Court,in the Parliament,in the Supreme Court.,A,,Medium,Parliament,
